timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
222157,1755602658645,15.85,-37.54,-0.7,766,766,779,358,846,33.333333333333336,-0.271,-0.596,0.76
222245,1755602658652,15.83,-37.46,-0.69,763,779,773,245,850,34.48275862068966,-0.269,-0.594,0.759
222275,1755602658654,15.82,-37.45,-0.69,767,770,771,283,850,33.333333333333336,-0.271,-0.594,0.761
222304,1755602658657,15.81,-37.44,-0.7,771,779,770,431,853,34.48275862068966,-0.27,-0.595,0.762
222334,1755602658658,15.83,-37.42,-0.7,775,774,770,447,851,33.333333333333336,-0.269,-0.594,0.762
222363,1755602658660,15.85,-37.41,-0.69,766,771,771,331,855,34.48275862068966,-0.27,-0.593,0.761
222393,1755602658663,15.83,-37.37,-0.69,771,778,773,300,845,33.333333333333336,-0.27,-0.592,0.761
222423,1755602658665,15.81,-37.38,-0.71,766,775,766,372,847,33.333333333333336,-0.269,-0.593,0.762
222453,1755602658667,15.85,-37.39,-0.69,769,778,769,465,844,33.333333333333336,-0.271,-0.592,0.76
222482,1755602658668,15.82,-37.37,-0.69,770,767,772,407,857,34.48275862068966,-0.273,-0.593,0.76
222512,1755602658671,15.8,-37.37,-0.68,773,770,773,287,844,33.333333333333336,-0.271,-0.594,0.761
222541,1755602658672,15.83,-37.37,-0.66,768,771,768,332,853,34.48275862068966,-0.269,-0.593,0.761
222561,1755602658674,15.83,-37.38,-0.66,769,776,773,337,840,50.0,-0.268,-0.591,0.76
222591,1755602658676,15.8,-37.39,-0.67,765,771,773,373,857,33.333333333333336,-0.269,-0.592,0.76
222620,1755602658679,15.81,-37.36,-0.67,772,771,775,483,847,34.48275862068966,-0.269,-0.592,0.762
222650,1755602658681,15.8,-37.34,-0.66,771,773,773,427,849,33.333333333333336,-0.271,-0.593,0.762
222679,1755602658683,15.76,-37.33,-0.67,772,771,775,293,851,34.48275862068966,-0.268,-0.592,0.762
222709,1755602658685,15.76,-37.32,-0.68,773,777,776,320,847,33.333333333333336,-0.266,-0.591,0.761
222738,1755602658687,15.77,-37.36,-0.68,769,774,772,447,847,34.48275862068966,-0.269,-0.591,0.76
222768,1755602658690,15.74,-37.36,-0.69,767,769,778,471,852,33.333333333333336,-0.27,-0.592,0.76
222797,1755602658692,15.73,-37.34,-0.67,761,781,774,373,841,34.48275862068966,-0.269,-0.592,0.763
222856,1755602658696,15.76,-37.29,-0.65,769,777,776,373,854,34.48275862068966,-0.269,-0.592,0.761
222886,1755602658698,15.76,-37.3,-0.65,767,773,778,465,853,33.333333333333336,-0.269,-0.592,0.761
222916,1755602658700,15.76,-37.28,-0.64,768,764,782,399,849,33.333333333333336,-0.27,-0.591,0.762
222945,1755602658702,15.76,-37.25,-0.62,771,772,782,270,851,34.48275862068966,-0.27,-0.591,0.762
222975,1755602658704,15.78,-37.24,-0.61,765,772,772,321,853,33.333333333333336,-0.27,-0.591,0.763
223005,1755602658706,15.77,-37.21,-0.6,767,765,767,444,852,33.333333333333336,-0.268,-0.59,0.762
223034,1755602658708,15.77,-37.21,-0.6,768,773,773,435,852,34.48275862068966,-0.268,-0.589,0.762
223064,1755602658710,15.76,-37.22,-0.61,766,769,769,330,849,33.333333333333336,-0.269,-0.59,0.763
223093,1755602658712,15.75,-37.2,-0.6,770,779,771,306,850,34.48275862068966,-0.269,-0.589,0.763
223123,1755602658714,15.78,-37.21,-0.6,762,777,776,406,853,33.333333333333336,-0.269,-0.588,0.763
223152,1755602658716,15.79,-37.23,-0.6,768,772,773,456,851,34.48275862068966,-0.27,-0.589,0.764
223181,1755602658718,15.78,-37.22,-0.6,770,776,776,347,859,34.48275862068966,-0.27,-0.589,0.764
223211,1755602658720,15.78,-37.23,-0.61,775,767,773,274,842,33.333333333333336,-0.269,-0.59,0.763
223241,1755602658722,15.78,-37.26,-0.6,768,773,777,344,842,33.333333333333336,-0.269,-0.59,0.763
223271,1755602658724,15.79,-37.25,-0.59,771,775,767,476,849,33.333333333333336,-0.269,-0.589,0.763
223300,1755602658726,15.79,-37.26,-0.6,770,771,769,431,851,34.48275862068966,-0.27,-0.59,0.763
223329,1755602658729,15.77,-37.28,-0.15,769,763,775,297,855,34.48275862068966,-0.27,-0.591,0.764
223388,1755602658733,15.82,-37.28,-0.13,771,766,776,453,850,34.48275862068966,-0.268,-0.59,0.765
223418,1755602658736,15.82,-37.31,-0.15,768,772,774,444,841,33.333333333333336,-0.267,-0.588,0.764
223447,1755602658737,15.83,-37.3,-0.17,771,775,774,337,848,34.48275862068966,-0.269,-0.588,0.764
223477,1755602658740,15.83,-37.31,-0.17,767,777,777,307,854,33.333333333333336,-0.271,-0.59,0.764
223506,1755602658742,15.84,-37.33,-0.16,770,775,771,392,851,34.48275862068966,-0.271,-0.592,0.765
223536,1755602658744,15.87,-37.29,-0.14,768,778,776,456,843,33.333333333333336,-0.269,-0.591,0.765
223565,1755602658746,15.88,-37.26,-0.15,778,777,771,388,850,34.48275862068966,-0.269,-0.59,0.765
223595,1755602658748,15.89,-37.29,-0.16,770,772,771,283,850,33.333333333333336,-0.27,-0.592,0.763
223624,1755602658750,15.88,-37.3,-0.15,770,774,775,341,843,34.48275862068966,-0.271,-0.593,0.764
223654,1755602658752,15.9,-37.24,-0.13,764,770,771,454,853,33.333333333333336,-0.271,-0.592,0.765
223683,1755602658754,15.88,-37.23,-0.15,764,773,773,387,844,34.48275862068966,-0.269,-0.59,0.763
223743,1755602658759,15.9,-37.26,-0.15,768,779,769,307,846,33.333333333333336,-0.273,-0.592,0.765
